source;sourceField;target;targetField;type
UP2_Activity;_PM_DA_S_MSP_PREDECESSORS;Activity;Predecessor;
UP2_Activity;AB_AA_B_CONTRACT_MS;Activity;Contractual Milestone;
UP2_Activity;AB_AA_B_IS_CRITICAL_ACTIVITY;Activity;Critical path manual;
UP2_Activity;AB_AA_DYN_WBS_CONS_LIST;Activity;List of consumers (Iterative TDBU);
UP2_Activity;AB_AA_DYN_WBS_CONS_LIST_PTP;Activity;List of consumers (P2P);
UP2_Activity;AB_AA_DYN_WBS_PROD_LIST;Activity;List of producers (Iterative TDBU);
UP2_Activity;AB_AA_S_ATA_CHAPTER;Activity;For Export ATA;
UP2_Activity;AB_AA_S_CONTACT_NAME;Activity;Contact name;
UP2_Activity;AB_AA_S_DEL_REF;Activity;Deliverable reference;
UP2_Activity;AB_AA_S_ROUTEBOOK_ID;Activity;Routebook id;
UP2_Activity;AB_NF_EVM_CONTRIBUTOR_ONB;Activity;EVM Contributor ONB;
UP2_ActivitySorting;AB_AA_S_SORTING_1;ActivitySorting;Sorting attribute 1 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_2;ActivitySorting;Sorting attribute 2 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_3;ActivitySorting;Sorting attribute3 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_4;ActivitySorting;Sorting attribute 4 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_5;ActivitySorting;Sorting attribute 5 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_6;ActivitySorting;Sorting attribute 6 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_7;ActivitySorting;Sorting attribute 7 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_8;ActivitySorting;Sorting attribute 8 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_9;ActivitySorting;Sorting attribute 9 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_10;ActivitySorting;Sorting attribute 10 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_11;ActivitySorting;Sorting attribute 11 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_12;ActivitySorting;Sorting attribute 12 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_13;ActivitySorting;Sorting attribute 13 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_14;ActivitySorting;Sorting attribute 14 without tab;
UP2_ActivitySorting;AB_AA_S_SORTING_15;ActivitySorting;Sorting attribute 15 without tab;
UP2_Activity;AB_NF_B_ONTIME_STATUS_AMBER_EXPORT;Activity;On time Amber;
UP2_Activity;AB_NF_B_ONTIME_STATUS_BLUE_EXPORT;Activity;On time Blue;
UP2_Activity;AB_NF_B_ONTIME_STATUS_GREEN_EXPORT;Activity;On Time Green;
UP2_Activity;AB_NF_B_ONTIME_STATUS_RED_EXPORT;Activity;On time Red;
UP2_Activity;AB_NF_DU_GAP_VS_CONSUMER;Activity;Gap vs Consumer;
UP2_Activity;AB_NF_DU_GAP_VS_COUNTERPART;Activity;Gap vs Counterpart;
UP2_Activity;AB_NF_DU_GAP_VS_OWNER;Activity;gap vs owner;
UP2_Activity;AB_NF_DU_GAP_VS_PRODUCER;Activity;Gap vs Producer;
UP2_Activity;AB_NF_N_MISMATCH;Activity;Delays;
UP2_Activity;AB_NF_BREAKDOWN_0_ONB;Activity;Workpackage ONB;
UP2_Activity;AB_NF_BREAKDOWN_4_ONB;Activity;GML ONB (String);
UP2_Activity;PD;Activity;Progress date;
UP2_Activity;AB_NF_D_BASELINE_DATE_SELEC_GLOBAL;Activity;Global baseline date;
UP2_Activity;LAST_MODIFICATION_DATE;Activity;Last modification date;
UP2_Activity;AB_NF_B_IS_CRITICAL_ACT_CALCULATED;Activity;On Critical Path?;
UP2_Activity;AB_NF_D_NEED_DATE_PTP_PROD;Activity;Earliest need date (P2P);
UP2_Activity;AB_NF_N_FINAL_VALUE_VERY_HIGH;Activity;Very high Risk Delay;
UP2_Activity;AB_NF_D_NEED_DATE_TDBU_OWNER;Activity;Earliest need date (TDBU);
UP2_Activity;AB_NF_N_FINAL_VALUE_HIGH;Activity;High Risk Delay;
UP2_Activity;AB_NF_D_PROPOSED_DATE_TDBU_OWNER;Activity;Latest proposed date (TDBU);
UP2_Activity;AB_NF_S_CASC_ORIGIN;Activity;Source activity;
UP2_Activity;AB_NF_N_FINAL_VALUE_OPS_HIGH;Activity;High Ops Delay;
UP2_Activity;AB_NF_S_WBS_PTP_NOT_PROC;Activity;WP not process for P2P;
UP2_Activity;AB_NF_S_WBS_TDBU_CONS_NOT_PROC;Activity;WP Cons not processed for TDBU;
UP2_Activity;AB_NF_D_OUTLOOK_VERY_HIGH;Activity;Very High Risk outlook date;
UP2_Activity;AB_NF_S_WBS_TDBU_PROD_NOT_PROC ;Activity;WP Prod not processed for TDBU;
UP2_Activity;AB_NF_D_OUTLOOK_HIGH;Activity;High Risk outlook date;
UP2_Activity;AB_NF_MSN_FP_ONB;Activity;MSN ONB (String);
UP2_Activity;AB_NF_D_OUTLOOK_HIGH_MEDIUM;Activity;High Risk outlook date;
UP2_Activity;AB_NF_D_OUTLOOK_TOTAL;Activity;Planned finish;
UP2_Activity;IDENT;Activity;Path Activity (Comment);
UP2_Activity;AB_AA_B_PREVIOUS_PICKED;Activity;was previously a picked;
UP2_Activity;AB_NF_T_EXP_BCB_COMMENT_EVM;Activity;BCB comment;
UP2_Activity;AB_NF_B_EXP_PROP_EVM_SIG_YN1;Activity;AU_AA_B_EVM_PROP_FUTURE;
UP2_Activity;AB_AR_REPORTING_LEVEL (ONB);Activity;Top50 onb;
UP2_Activity;ED;Activity;Elapsed duration;
